Filename,Num_Points,Mean_Ratio,Median_Ratio,Mean_Error(%),Median_Error(%),Within_10%,Within_20%,Within_30%,Overestimation(%),Underestimation(%)
00278_10.00Apx,2238344,0.9797,0.9978,11.51,9.46,52.73,84.54,94.90,49.41,50.59
00263_10.00Apx,1700004,0.9590,0.9727,13.29,9.68,51.40,77.65,90.19,42.99,57.01
00293_10.00Apx,2729120,0.9600,0.9796,12.65,9.62,51.82,80.87,91.91,44.73,55.27
00260_10.00Apx,3452201,0.9609,0.9746,13.32,10.23,48.95,77.91,90.73,43.82,56.18
00268_10.00Apx,2151450,0.9825,1.0002,11.03,9.03,55.13,85.83,95.50,50.05,49.95
00308_10.00Apx,1639799,0.9804,1.0003,10.74,8.74,56.94,86.75,95.69,50.07,49.93
00311_10.00Apx,3080550,0.9618,0.9729,13.13,9.86,50.63,78.38,91.02,43.22,56.78
00277_10.00Apx,2936507,0.9736,0.9873,12.92,10.19,49.12,79.70,92.04,46.86,53.14
00273_10.00Apx,1722917,0.9653,0.9812,13.48,9.67,51.53,78.09,89.75,45.23,54.77
00304_10.00Apx,159373,0.9754,0.9931,6.89,5.05,78.49,94.91,98.94,46.56,53.44
00258_10.00Apx,1410576,0.9727,0.9936,11.30,8.61,57.43,84.52,93.97,48.15,51.85
00301_10.00Apx,1541159,0.9746,0.9942,10.61,8.17,60.19,86.33,95.11,48.25,51.75
00264_10.00Apx,1565585,0.9525,0.9682,13.40,9.61,51.69,77.15,89.71,41.84,58.16
00306_10.00Apx,719366,0.9632,0.9828,11.59,8.23,59.08,82.38,92.85,44.97,55.03
00295_10.00Apx,2828852,0.9593,0.9717,13.65,10.46,48.02,76.67,90.14,43.24,56.76
00305_10.00Apx,515656,0.9390,0.9589,13.12,9.38,52.64,77.03,90.17,39.36,60.64
00281_10.00Apx,810092,0.9684,0.9909,10.10,7.64,63.48,86.96,95.62,47.12,52.88
00315_10.00Apx,266356,0.9953,1.0153,7.43,6.22,77.02,95.08,98.94,56.37,43.63
00316_10.00Apx,1339759,0.9690,0.9890,11.77,8.75,56.51,82.71,92.92,46.89,53.11
00270_10.00Apx,2897317,0.9610,0.9753,13.19,10.22,49.01,78.58,91.18,43.98,56.02
00318_10.00Apx,1439420,0.9705,0.9900,12.49,9.20,54.00,81.19,91.51,47.31,52.69
00298_10.00Apx,1006182,0.9800,1.0012,10.53,8.31,59.70,86.91,95.33,50.37,49.63
00292_10.00Apx,2139238,0.9612,0.9768,12.69,9.52,52.23,79.61,91.57,43.98,56.02
00288_10.00Apx,2228042,0.9634,0.9794,11.42,8.76,56.21,83.25,94.18,44.20,55.80
00282_10.00Apx,1627706,0.9725,0.9930,11.72,9.27,53.74,83.54,93.80,48.10,51.90
00285_10.00Apx,1711773,0.9812,0.9986,10.61,8.60,57.44,86.88,96.04,49.60,50.40
00267_10.00Apx,1497035,0.9551,0.9738,13.18,9.41,52.75,77.98,89.94,43.20,56.80
00291_10.00Apx,1657505,0.9660,0.9837,11.17,8.51,57.89,83.94,94.40,45.31,54.69
00294_10.00Apx,1931529,0.9576,0.9756,12.36,9.23,53.71,80.26,91.93,43.55,56.45
00287_10.00Apx,3620963,0.9461,0.9550,14.74,11.39,44.44,73.19,87.98,40.11,59.89
00269_10.00Apx,1868358,0.9851,1.0036,10.41,8.45,58.66,87.67,96.13,51.08,48.92
00307_10.00Apx,227648,0.9668,0.9908,9.28,6.84,68.26,88.57,96.32,46.66,53.34
00276_10.00Apx,2476895,0.9628,0.9762,12.96,9.82,50.84,78.90,91.28,43.98,56.02
00283_10.00Apx,1728076,0.9653,0.9876,12.59,9.22,53.80,81.01,91.46,46.67,53.33
00255_10.00Apx,658550,0.9824,1.0016,8.90,7.11,68.29,90.97,97.75,50.55,49.45
00309_10.00Apx,248294,0.9908,1.0095,7.68,6.29,74.80,94.35,98.93,53.87,46.13
00284_10.00Apx,1453185,1.0033,1.0227,9.80,8.53,58.34,91.35,97.96,56.94,43.06
00254_10.00Apx,700766,0.9864,1.0071,8.93,7.30,67.10,91.36,97.82,52.47,47.53
00275_10.00Apx,1710094,0.9627,0.9813,12.27,9.14,54.21,81.28,92.15,44.95,55.05
00313_10.00Apx,280648,0.9823,1.0022,8.62,6.76,70.15,91.25,97.90,50.81,49.19
00257_10.00Apx,2406421,0.9735,0.9916,12.30,9.74,51.26,81.89,92.99,47.87,52.13
00303_10.00Apx,14108,0.9752,0.9860,5.18,3.72,85.83,98.09,99.85,40.53,59.47
00280_10.00Apx,450340,0.9901,1.0105,7.96,6.55,73.48,93.66,98.67,54.11,45.89
00274_10.00Apx,713682,0.9713,0.9964,10.38,7.64,63.56,86.39,94.54,48.82,51.18
00297_10.00Apx,2150118,0.9708,0.9898,10.51,8.34,59.00,86.61,95.82,46.96,53.04
00262_10.00Apx,1832481,0.9627,0.9825,13.82,9.83,50.79,77.19,88.76,45.65,54.35
00286_10.00Apx,2464672,0.9874,1.0012,12.70,10.41,48.12,80.86,93.13,50.29,49.71
00259_10.00Apx,1897106,0.9806,1.0004,11.13,9.03,55.05,85.74,95.15,50.11,49.89
00312_10.00Apx,1143096,0.9970,1.0171,8.85,7.57,65.02,92.94,98.40,55.88,44.12
