Filename,Num_Points,Mean_Ratio,Median_Ratio,Mean_Error(%),Median_Error(%),Within_10%,Within_20%,Within_30%,Overestimation(%),Underestimation(%)
00278_10.00Apx,2238344,1.0056,1.0193,12.72,10.46,47.88,82.32,93.24,54.80,45.20
00263_10.00Apx,1700004,0.9750,0.9897,13.99,10.66,47.10,77.32,89.50,47.58,52.42
00293_10.00Apx,2729120,0.9901,1.0084,13.63,10.80,46.46,79.95,91.08,51.98,48.02
00260_10.00Apx,3452201,0.9862,0.9972,14.13,11.20,44.91,77.17,89.97,49.38,50.62
00268_10.00Apx,2151450,1.0069,1.0221,11.99,10.06,49.68,84.85,94.67,55.70,44.30
00308_10.00Apx,1639799,1.0073,1.0264,11.86,10.02,49.88,85.66,94.74,56.88,43.12
00311_10.00Apx,3080550,0.9800,0.9917,13.87,10.81,46.46,77.71,90.14,48.07,51.93
00277_10.00Apx,2936507,0.9941,1.0057,13.68,11.00,45.65,79.09,91.20,51.31,48.69
00273_10.00Apx,1722917,0.9779,0.9966,14.55,10.79,46.49,76.93,88.24,49.23,50.77
00304_10.00Apx,159373,0.9946,1.0084,7.31,5.79,76.13,95.34,98.87,53.85,46.15
00258_10.00Apx,1410576,1.0019,1.0222,12.21,9.97,50.13,84.46,93.56,55.76,44.24
00301_10.00Apx,1541159,0.9970,1.0176,11.31,9.28,53.75,86.55,94.87,54.90,45.10
00264_10.00Apx,1565585,0.9722,0.9899,14.13,10.76,46.62,77.01,89.10,47.67,52.33
00306_10.00Apx,719366,0.9807,0.9998,12.07,9.25,53.79,82.62,92.81,49.94,50.06
00295_10.00Apx,2828852,0.9856,0.9931,14.50,11.30,44.66,75.80,89.20,48.45,51.55
00305_10.00Apx,515656,0.9605,0.9809,13.85,10.69,46.90,77.02,89.63,45.62,54.38
00281_10.00Apx,810092,0.9918,1.0127,10.76,8.64,57.41,87.21,95.37,53.80,46.20
00315_10.00Apx,266356,1.0138,1.0321,8.22,7.17,69.12,94.97,98.77,62.29,37.71
00316_10.00Apx,1339759,0.9906,1.0100,12.79,9.96,50.20,81.80,91.86,52.55,47.45
00270_10.00Apx,2897317,0.9868,0.9979,14.02,11.13,45.19,77.71,90.22,49.52,50.48
00318_10.00Apx,1439420,0.9922,1.0119,13.24,10.34,48.42,80.75,91.07,52.97,47.03
00298_10.00Apx,1006182,1.0086,1.0278,11.47,9.51,52.55,86.58,94.80,57.71,42.29
00292_10.00Apx,2139238,0.9813,0.9961,13.49,10.51,47.72,78.97,90.69,49.07,50.93
00288_10.00Apx,2228042,0.9886,1.0027,12.14,9.76,51.17,82.98,93.56,50.71,49.29
00282_10.00Apx,1627706,0.9977,1.0146,12.46,10.18,49.14,83.17,93.32,53.70,46.30
00285_10.00Apx,1711773,1.0094,1.0239,11.71,9.75,51.24,85.65,94.95,56.44,43.56
00267_10.00Apx,1497035,0.9788,0.9961,14.02,10.56,47.52,77.37,89.09,49.06,50.94
00291_10.00Apx,1657505,0.9878,1.0047,11.67,9.44,52.84,84.51,94.38,51.26,48.74
00294_10.00Apx,1931529,0.9795,0.9978,13.06,10.35,48.37,80.12,91.48,49.46,50.54
00287_10.00Apx,3620963,0.9770,0.9835,15.71,12.51,40.37,72.17,86.86,46.69,53.31
00269_10.00Apx,1868358,1.0054,1.0213,11.28,9.37,53.22,86.92,95.41,55.95,44.05
00307_10.00Apx,227648,0.9852,1.0076,9.83,7.69,63.26,88.81,96.06,52.48,47.52
00276_10.00Apx,2476895,0.9844,0.9967,13.71,10.80,46.47,78.32,90.53,49.22,50.78
00283_10.00Apx,1728076,0.9890,1.0119,13.38,10.46,47.87,81.00,91.08,52.91,47.09
00255_10.00Apx,658550,1.0025,1.0188,9.58,7.93,62.01,90.98,97.48,56.14,43.86
00309_10.00Apx,248294,1.0068,1.0256,8.36,7.22,68.32,94.40,98.76,59.47,40.53
00284_10.00Apx,1453185,1.0242,1.0389,10.92,9.39,53.22,88.95,96.61,61.20,38.80
00254_10.00Apx,700766,1.0005,1.0172,9.78,8.02,61.35,90.26,97.09,55.64,44.36
00275_10.00Apx,1710094,0.9803,0.9994,13.04,10.14,49.35,80.57,91.32,49.84,50.16
00313_10.00Apx,280648,0.9924,1.0137,9.34,7.59,64.58,90.74,97.19,54.67,45.33
00257_10.00Apx,2406421,0.9963,1.0114,13.30,10.73,46.71,80.42,91.74,52.72,47.28
00303_10.00Apx,14108,0.9765,0.9875,5.33,3.81,85.45,97.79,99.75,41.36,58.64
00280_10.00Apx,450340,1.0138,1.0323,8.81,7.64,65.15,93.75,98.41,61.48,38.52
00274_10.00Apx,713682,0.9865,1.0120,11.04,8.58,57.78,86.26,94.17,53.57,46.43
00297_10.00Apx,2150118,1.0042,1.0209,11.39,9.63,51.88,86.64,95.54,55.68,44.32
00262_10.00Apx,1832481,0.9911,1.0109,14.83,11.29,44.41,76.66,87.99,52.44,47.56
00286_10.00Apx,2464672,1.0054,1.0163,13.76,11.29,44.45,79.08,91.59,53.75,46.25
00259_10.00Apx,1897106,1.0118,1.0289,12.10,10.26,48.78,84.86,94.68,57.45,42.55
00312_10.00Apx,1143096,1.0252,1.0435,9.89,8.85,56.42,92.64,98.10,63.63,36.37
00256_10.00Apx,1728690,0.9785,0.9890,14.50,10.92,46.15,75.28,88.30,47.47,52.53
00310_10.00Apx,2029293,1.0043,1.0221,11.92,9.90,50.50,85.06,94.39,55.82,44.18
